1:2026-03-22 12:13:04 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 665bac8f-3e5c-42c0-a60e-0fdb0e6e71b9: sub-trajectories not referenced by parent: {'agent-acompact-0497d074fba840aa', 'agent-acompact-b26e3a617acad709'}
114:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 903c1ee2-0802-4001-9564-e9158c8abeb3: sub-trajectories not referenced by parent: {'agent-acompact-f93cd1b76b882348'}
115:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1cdccebc-b091-4105-876b-10e9a590f4b9: sub-trajectories not referenced by parent: {'agent-acompact-67f07bdb4d2b5367'}
116:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 67ce0e83-8a50-4c92-aeb7-0cc012800bad: sub-trajectories not referenced by parent: {'agent-acompact-1d10d86fc6fd4776', 'agent-acompact-45cbffa5311759d6'}
117:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bc5c8352-46a3-4255-bfb5-4e008e9302fb: sub-trajectories not referenced by parent: {'agent-acompact-f35ea51d81c2a965', 'agent-acompact-d3287cd895c58af5'}
118:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bc5c8352-46a3-4255-bfb5-4e008e9302fb: sub-trajectories not referenced by parent: {'agent-acompact-f35ea51d81c2a965', 'agent-acompact-d3287cd895c58af5'}
119:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2084672a-c89e-43c4-9e14-dc77d362eca6: sub-trajectories not referenced by parent: {'agent-acompact-569a9cc8e7f9855a', 'agent-a881da7c0102d34ba'}
120:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2084672a-c89e-43c4-9e14-dc77d362eca6: sub-trajectories not referenced by parent: {'agent-acompact-569a9cc8e7f9855a', 'agent-a881da7c0102d34ba'}
121:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e6a0f862-8586-4835-a81c-94a630a1b7a1: sub-trajectories not referenced by parent: {'agent-acompact-2aa90bb0251b5a91'}
122:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8de1f9a7-720a-4033-8df2-7d20449abd88: sub-trajectories not referenced by parent: {'agent-acompact-e59aeb107fedd1e7'}
123:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e6a0f862-8586-4835-a81c-94a630a1b7a1: sub-trajectories not referenced by parent: {'agent-acompact-2aa90bb0251b5a91'}
124:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8de1f9a7-720a-4033-8df2-7d20449abd88: sub-trajectories not referenced by parent: {'agent-acompact-e59aeb107fedd1e7'}
125:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1a0f9e68-7896-42f1-8c4d-43de60543cff: sub-trajectories not referenced by parent: {'agent-acompact-64bed55989066518'}
126:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 63285e8f-b332-4d51-b8ee-593252545736: sub-trajectories not referenced by parent: {'agent-a165940175456ac37', 'agent-acompact-9d60f00a7d57f58b', 'agent-ae93bc40e53f6e1d2', 'agent-acompact-b4985779eede7e72', 'agent-aac1b66afc3ebec74', 'agent-acompact-12e78209642780fb', 'agent-a5edd3fed4c802074'}
127:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1a0f9e68-7896-42f1-8c4d-43de60543cff: sub-trajectories not referenced by parent: {'agent-acompact-64bed55989066518'}
128:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 641f2d09-3f73-49de-b61e-95ed2a6b9edd: sub-trajectories not referenced by parent: {'agent-acompact-46986acd98fae3aa', 'agent-acompact-d45a3e4765ec004c'}
129:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 97c0891e-34fd-4556-ac50-c39e42949393: sub-trajectories not referenced by parent: {'agent-acompact-7bfe1975790823d1', 'agent-acompact-dc59797b1f583afd', 'agent-acompact-e607dcc9eb1d817a', 'agent-ad31835ffe31ad6b9', 'agent-acompact-81f7054ea95cd30b'}
130:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 723a2284-cc87-4324-b618-a14a05e31c1f: sub-trajectories not referenced by parent: {'agent-acompact-9c05e41a5bd64b43'}
131:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 97c0891e-34fd-4556-ac50-c39e42949393: sub-trajectories not referenced by parent: {'agent-acompact-7bfe1975790823d1', 'agent-acompact-dc59797b1f583afd', 'agent-acompact-e607dcc9eb1d817a', 'agent-ad31835ffe31ad6b9', 'agent-acompact-81f7054ea95cd30b'}
132:2026-03-22 12:13:19 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 723a2284-cc87-4324-b618-a14a05e31c1f: sub-trajectories not referenced by parent: {'agent-acompact-9c05e41a5bd64b43'}
133:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session befd0264-1979-49b0-94bf-5ad05c24819e: sub-trajectories not referenced by parent: {'agent-acompact-68d2d866709ad8c0'}
134:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 225e6d3d-6769-4ae6-b39f-184b0f237bf7: sub-trajectories not referenced by parent: {'agent-acompact-4893a5d0b99d57c8', 'agent-acompact-1b4e7b5e0127cac1', 'agent-acompact-47850ceead281d54'}
135:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session befd0264-1979-49b0-94bf-5ad05c24819e: sub-trajectories not referenced by parent: {'agent-acompact-68d2d866709ad8c0'}
136:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 92eade39-9d72-4d75-8522-71fa668f14ac: sub-trajectories not referenced by parent: {'agent-acompact-67ce83bab0e10a9a'}
137:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 92eade39-9d72-4d75-8522-71fa668f14ac: sub-trajectories not referenced by parent: {'agent-acompact-67ce83bab0e10a9a'}
138:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2608f564-e5b2-459c-ac2a-15f6a41360e5: sub-trajectories not referenced by parent: {'agent-acompact-41688ff0d393b33f', 'agent-acompact-6aabd4f89a5d9a8c'}
139:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2608f564-e5b2-459c-ac2a-15f6a41360e5: sub-trajectories not referenced by parent: {'agent-acompact-41688ff0d393b33f', 'agent-acompact-6aabd4f89a5d9a8c'}
140:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e869a27c-b69a-43ef-aed5-df59faacde04: sub-trajectories not referenced by parent: {'agent-acompact-49332fb5cc009333', 'agent-acompact-6d9f21bbec6d2a47', 'agent-acompact-18247fd1896b7c47', 'agent-acompact-c6e7d40ec5a02610', 'agent-acompact-30555213a28556a6', 'agent-acompact-0e8902afa631a788', 'agent-acompact-ae5993ec70d1f067'}
141:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 41308834-a399-4cf2-9e44-7c553d42c722: sub-trajectories not referenced by parent: {'agent-acompact-ac2a04dd2c7df1ca'}
142:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 41308834-a399-4cf2-9e44-7c553d42c722: sub-trajectories not referenced by parent: {'agent-acompact-ac2a04dd2c7df1ca'}
143:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c9ab6581-b170-48a9-a796-2114e9b0bb95: sub-trajectories not referenced by parent: {'agent-acompact-3a8765dd36eb24d9'}
144:2026-03-22 12:13:20 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c9ab6581-b170-48a9-a796-2114e9b0bb95: sub-trajectories not referenced by parent: {'agent-acompact-3a8765dd36eb24d9'}
145:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d77137cb-9daf-414e-b183-8ae0337c0d23: sub-trajectories not referenced by parent: {'agent-acompact-1564fd71086dd7f4'}
146:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 903c1ee2-0802-4001-9564-e9158c8abeb3: sub-trajectories not referenced by parent: {'agent-acompact-f93cd1b76b882348'}
147:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 903c1ee2-0802-4001-9564-e9158c8abeb3: sub-trajectories not referenced by parent: {'agent-acompact-f93cd1b76b882348'}
148:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 67ce0e83-8a50-4c92-aeb7-0cc012800bad: sub-trajectories not referenced by parent: {'agent-acompact-1d10d86fc6fd4776', 'agent-acompact-45cbffa5311759d6'}
149:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 49899e46-e9ce-4d00-8d34-a6035324f70d: sub-trajectories not referenced by parent: {'agent-acompact-d2b37df27be66939', 'agent-ac86ce119e8bc9e95', 'agent-a7a716a60edf6e024', 'agent-a35c53e2cf39ff62a', 'agent-acompact-002dbf55d2a3b1a7'}
150:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 67ce0e83-8a50-4c92-aeb7-0cc012800bad: sub-trajectories not referenced by parent: {'agent-acompact-1d10d86fc6fd4776', 'agent-acompact-45cbffa5311759d6'}
151:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a9c5ab07-19ff-442b-9beb-b9d05ba1b313: sub-trajectories not referenced by parent: {'agent-acompact-0a20a9db906de2b0'}
152:2026-03-22 12:13:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session de49c5c8-5d67-4190-9334-bc724975df04: sub-trajectories not referenced by parent: {'agent-acompact-64c9b14dbe8e84bf'}
153:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 55ea48f3-6c4b-4354-aa2f-dfdc4ecfd6f2: sub-trajectories not referenced by parent: {'agent-acompact-a33793520a41c1d4'}
154:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f94095ad-7a07-40bd-9384-4b99b6e89d03: sub-trajectories not referenced by parent: {'agent-acompact-6d8ae10172c45197'}
155:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c7d79e56-5a21-42f0-8d9d-2782e9c68eba: sub-trajectories not referenced by parent: {'agent-acompact-6783787cc820005f'}
156:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 63285e8f-b332-4d51-b8ee-593252545736: sub-trajectories not referenced by parent: {'agent-a165940175456ac37', 'agent-acompact-9d60f00a7d57f58b', 'agent-ae93bc40e53f6e1d2', 'agent-acompact-b4985779eede7e72', 'agent-aac1b66afc3ebec74', 'agent-acompact-12e78209642780fb', 'agent-a5edd3fed4c802074'}
157:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 63285e8f-b332-4d51-b8ee-593252545736: sub-trajectories not referenced by parent: {'agent-a165940175456ac37', 'agent-acompact-9d60f00a7d57f58b', 'agent-ae93bc40e53f6e1d2', 'agent-acompact-b4985779eede7e72', 'agent-aac1b66afc3ebec74', 'agent-acompact-12e78209642780fb', 'agent-a5edd3fed4c802074'}
158:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 641f2d09-3f73-49de-b61e-95ed2a6b9edd: sub-trajectories not referenced by parent: {'agent-acompact-46986acd98fae3aa', 'agent-acompact-d45a3e4765ec004c'}
159:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 641f2d09-3f73-49de-b61e-95ed2a6b9edd: sub-trajectories not referenced by parent: {'agent-acompact-46986acd98fae3aa', 'agent-acompact-d45a3e4765ec004c'}
160:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8c84c953-3d5f-4954-843a-588e799bf689: sub-trajectories not referenced by parent: {'agent-acompact-234b268d48359063', 'agent-acompact-b0f413897ce17cf9'}
161:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 225e6d3d-6769-4ae6-b39f-184b0f237bf7: sub-trajectories not referenced by parent: {'agent-acompact-4893a5d0b99d57c8', 'agent-acompact-1b4e7b5e0127cac1', 'agent-acompact-47850ceead281d54'}
162:2026-03-22 12:13:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 225e6d3d-6769-4ae6-b39f-184b0f237bf7: sub-trajectories not referenced by parent: {'agent-acompact-4893a5d0b99d57c8', 'agent-acompact-1b4e7b5e0127cac1', 'agent-acompact-47850ceead281d54'}
163:2026-03-22 12:13:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 38c1745d-e3f1-4976-a15f-c8158258b8c4: sub-trajectories not referenced by parent: {'agent-acompact-cc8f4e8640d15935', 'agent-acompact-6d206499d00e9e29'}
164:2026-03-22 12:13:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e869a27c-b69a-43ef-aed5-df59faacde04: sub-trajectories not referenced by parent: {'agent-acompact-49332fb5cc009333', 'agent-acompact-6d9f21bbec6d2a47', 'agent-acompact-18247fd1896b7c47', 'agent-acompact-c6e7d40ec5a02610', 'agent-acompact-30555213a28556a6', 'agent-acompact-0e8902afa631a788', 'agent-acompact-ae5993ec70d1f067'}
165:2026-03-22 12:13:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e869a27c-b69a-43ef-aed5-df59faacde04: sub-trajectories not referenced by parent: {'agent-acompact-49332fb5cc009333', 'agent-acompact-6d9f21bbec6d2a47', 'agent-acompact-18247fd1896b7c47', 'agent-acompact-c6e7d40ec5a02610', 'agent-acompact-30555213a28556a6', 'agent-acompact-0e8902afa631a788', 'agent-acompact-ae5993ec70d1f067'}
166:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d77137cb-9daf-414e-b183-8ae0337c0d23: sub-trajectories not referenced by parent: {'agent-acompact-1564fd71086dd7f4'}
167:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d77137cb-9daf-414e-b183-8ae0337c0d23: sub-trajectories not referenced by parent: {'agent-acompact-1564fd71086dd7f4'}
168:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b17a7d9d-cdf9-40e0-948e-933165a6fa0d: sub-trajectories not referenced by parent: {'agent-acompact-603b8158b2c0f984'}
169:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 49899e46-e9ce-4d00-8d34-a6035324f70d: sub-trajectories not referenced by parent: {'agent-acompact-d2b37df27be66939', 'agent-ac86ce119e8bc9e95', 'agent-a7a716a60edf6e024', 'agent-a35c53e2cf39ff62a', 'agent-acompact-002dbf55d2a3b1a7'}
170:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 49899e46-e9ce-4d00-8d34-a6035324f70d: sub-trajectories not referenced by parent: {'agent-acompact-d2b37df27be66939', 'agent-ac86ce119e8bc9e95', 'agent-a7a716a60edf6e024', 'agent-a35c53e2cf39ff62a', 'agent-acompact-002dbf55d2a3b1a7'}
171:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a9c5ab07-19ff-442b-9beb-b9d05ba1b313: sub-trajectories not referenced by parent: {'agent-acompact-0a20a9db906de2b0'}
172:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a9c5ab07-19ff-442b-9beb-b9d05ba1b313: sub-trajectories not referenced by parent: {'agent-acompact-0a20a9db906de2b0'}
173:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session de49c5c8-5d67-4190-9334-bc724975df04: sub-trajectories not referenced by parent: {'agent-acompact-64c9b14dbe8e84bf'}
174:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session de49c5c8-5d67-4190-9334-bc724975df04: sub-trajectories not referenced by parent: {'agent-acompact-64c9b14dbe8e84bf'}
175:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session add4be70-7479-40e6-bf45-d8708cb7eb78: sub-trajectories not referenced by parent: {'agent-a54ea6f5a12715275'}
176:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 55ea48f3-6c4b-4354-aa2f-dfdc4ecfd6f2: sub-trajectories not referenced by parent: {'agent-acompact-a33793520a41c1d4'}
177:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 55ea48f3-6c4b-4354-aa2f-dfdc4ecfd6f2: sub-trajectories not referenced by parent: {'agent-acompact-a33793520a41c1d4'}
178:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f94095ad-7a07-40bd-9384-4b99b6e89d03: sub-trajectories not referenced by parent: {'agent-acompact-6d8ae10172c45197'}
179:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f94095ad-7a07-40bd-9384-4b99b6e89d03: sub-trajectories not referenced by parent: {'agent-acompact-6d8ae10172c45197'}
180:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c7d79e56-5a21-42f0-8d9d-2782e9c68eba: sub-trajectories not referenced by parent: {'agent-acompact-6783787cc820005f'}
181:2026-03-22 12:13:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c7d79e56-5a21-42f0-8d9d-2782e9c68eba: sub-trajectories not referenced by parent: {'agent-acompact-6783787cc820005f'}
182:2026-03-22 12:13:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e733352a-5117-4468-9f3f-9f38a7bce888: sub-trajectories not referenced by parent: {'agent-aef966651660d53b5', 'agent-acompact-46a75f7e3931d36d', 'agent-a13a2394b774cbb13', 'agent-acompact-e52f4a2dbe81ccf0'}
183:2026-03-22 12:13:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8c84c953-3d5f-4954-843a-588e799bf689: sub-trajectories not referenced by parent: {'agent-acompact-234b268d48359063', 'agent-acompact-b0f413897ce17cf9'}
184:2026-03-22 12:13:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8c84c953-3d5f-4954-843a-588e799bf689: sub-trajectories not referenced by parent: {'agent-acompact-234b268d48359063', 'agent-acompact-b0f413897ce17cf9'}
185:2026-03-22 12:13:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session ab5114a5-0880-4b15-9fc1-042e1d1e738d: sub-trajectories not referenced by parent: {'agent-acompact-971f2402d80c3b0c'}
186:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b4e23391-3007-452a-848f-484d17a49df1: sub-trajectories not referenced by parent: {'agent-acompact-94f100a20dc6b9da', 'agent-acompact-bda432abb3045c02', 'agent-acompact-d727f594f50ca777', 'agent-acompact-06e41344ea63eb91'}
187:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 38c1745d-e3f1-4976-a15f-c8158258b8c4: sub-trajectories not referenced by parent: {'agent-acompact-cc8f4e8640d15935', 'agent-acompact-6d206499d00e9e29'}
188:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 38c1745d-e3f1-4976-a15f-c8158258b8c4: sub-trajectories not referenced by parent: {'agent-acompact-cc8f4e8640d15935', 'agent-acompact-6d206499d00e9e29'}
189:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 29871069-cf1d-40c3-baaf-267128a6c681: sub-trajectories not referenced by parent: {'agent-acompact-9194a03076bdf1fa', 'agent-acompact-6e145bb8c6aa9810'}
190:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f6fac801-9f4e-46db-9629-5035a9c951f2: sub-trajectories not referenced by parent: {'agent-acompact-3c67d381b9972bb0'}
191:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b17a7d9d-cdf9-40e0-948e-933165a6fa0d: sub-trajectories not referenced by parent: {'agent-acompact-603b8158b2c0f984'}
192:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b17a7d9d-cdf9-40e0-948e-933165a6fa0d: sub-trajectories not referenced by parent: {'agent-acompact-603b8158b2c0f984'}
193:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c1acafd6-9eef-4384-b2f1-badccd20a3a5: sub-trajectories not referenced by parent: {'agent-acompact-e6fa58af9eec3bf9'}
194:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session add4be70-7479-40e6-bf45-d8708cb7eb78: sub-trajectories not referenced by parent: {'agent-a54ea6f5a12715275'}
195:2026-03-22 12:13:26 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session add4be70-7479-40e6-bf45-d8708cb7eb78: sub-trajectories not referenced by parent: {'agent-a54ea6f5a12715275'}
196:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e733352a-5117-4468-9f3f-9f38a7bce888: sub-trajectories not referenced by parent: {'agent-aef966651660d53b5', 'agent-acompact-46a75f7e3931d36d', 'agent-a13a2394b774cbb13', 'agent-acompact-e52f4a2dbe81ccf0'}
197:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e733352a-5117-4468-9f3f-9f38a7bce888: sub-trajectories not referenced by parent: {'agent-aef966651660d53b5', 'agent-acompact-46a75f7e3931d36d', 'agent-a13a2394b774cbb13', 'agent-acompact-e52f4a2dbe81ccf0'}
198:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session ab5114a5-0880-4b15-9fc1-042e1d1e738d: sub-trajectories not referenced by parent: {'agent-acompact-971f2402d80c3b0c'}
199:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session ab5114a5-0880-4b15-9fc1-042e1d1e738d: sub-trajectories not referenced by parent: {'agent-acompact-971f2402d80c3b0c'}
200:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b4e23391-3007-452a-848f-484d17a49df1: sub-trajectories not referenced by parent: {'agent-acompact-94f100a20dc6b9da', 'agent-acompact-bda432abb3045c02', 'agent-acompact-d727f594f50ca777', 'agent-acompact-06e41344ea63eb91'}
201:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f9e6dd32-12b2-44f5-9584-93e5029d6526: sub-trajectories not referenced by parent: {'agent-acompact-f3101bb241a445de', 'agent-acompact-bf2b42953cd2e0a0', 'agent-acompact-01ed8731d2b452a9', 'agent-acompact-af3991337d47dddc', 'agent-acompact-53dcb798856359c2', 'agent-acompact-4a39a60c3b8dc5ff'}
202:2026-03-22 12:13:27 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b4e23391-3007-452a-848f-484d17a49df1: sub-trajectories not referenced by parent: {'agent-acompact-94f100a20dc6b9da', 'agent-acompact-bda432abb3045c02', 'agent-acompact-d727f594f50ca777', 'agent-acompact-06e41344ea63eb91'}
203:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 29871069-cf1d-40c3-baaf-267128a6c681: sub-trajectories not referenced by parent: {'agent-acompact-9194a03076bdf1fa', 'agent-acompact-6e145bb8c6aa9810'}
204:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 29871069-cf1d-40c3-baaf-267128a6c681: sub-trajectories not referenced by parent: {'agent-acompact-9194a03076bdf1fa', 'agent-acompact-6e145bb8c6aa9810'}
205:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 54835177-c193-4a23-82cd-5f23f5a0ea3c: sub-trajectories not referenced by parent: {'agent-acompact-34e7e316466fc1ff'}
206:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f6fac801-9f4e-46db-9629-5035a9c951f2: sub-trajectories not referenced by parent: {'agent-acompact-3c67d381b9972bb0'}
207:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f6fac801-9f4e-46db-9629-5035a9c951f2: sub-trajectories not referenced by parent: {'agent-acompact-3c67d381b9972bb0'}
208:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c1acafd6-9eef-4384-b2f1-badccd20a3a5: sub-trajectories not referenced by parent: {'agent-acompact-e6fa58af9eec3bf9'}
209:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c1acafd6-9eef-4384-b2f1-badccd20a3a5: sub-trajectories not referenced by parent: {'agent-acompact-e6fa58af9eec3bf9'}
210:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 76425aa0-0780-4b43-bbc1-7a3a537bf326: sub-trajectories not referenced by parent: {'agent-acompact-8086496b6338f180'}
211:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session eaa1c566-61f4-4b4b-9cde-8bea0acd3e8f: sub-trajectories not referenced by parent: {'agent-acompact-15c80e5b843a2e03'}
212:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d0daf736-d806-4a82-bfef-89bfbf5c9577: sub-trajectories not referenced by parent: {'agent-acompact-c48519c517354d26'}
213:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f9e6dd32-12b2-44f5-9584-93e5029d6526: sub-trajectories not referenced by parent: {'agent-acompact-f3101bb241a445de', 'agent-acompact-bf2b42953cd2e0a0', 'agent-acompact-01ed8731d2b452a9', 'agent-acompact-af3991337d47dddc', 'agent-acompact-53dcb798856359c2', 'agent-acompact-4a39a60c3b8dc5ff'}
214:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session f9e6dd32-12b2-44f5-9584-93e5029d6526: sub-trajectories not referenced by parent: {'agent-acompact-f3101bb241a445de', 'agent-acompact-bf2b42953cd2e0a0', 'agent-acompact-01ed8731d2b452a9', 'agent-acompact-af3991337d47dddc', 'agent-acompact-53dcb798856359c2', 'agent-acompact-4a39a60c3b8dc5ff'}
215:2026-03-22 12:13:28 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 5a364150-3478-4882-a271-a35220fd7d9a: sub-trajectories not referenced by parent: {'agent-acompact-259302f944dc9906', 'agent-acompact-44d17c5f0fe7eff4', 'agent-acompact-76124e997557e76d'}
216:2026-03-22 12:13:29 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 54835177-c193-4a23-82cd-5f23f5a0ea3c: sub-trajectories not referenced by parent: {'agent-acompact-34e7e316466fc1ff'}
217:2026-03-22 12:13:29 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 54835177-c193-4a23-82cd-5f23f5a0ea3c: sub-trajectories not referenced by parent: {'agent-acompact-34e7e316466fc1ff'}
218:2026-03-22 12:13:30 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 76425aa0-0780-4b43-bbc1-7a3a537bf326: sub-trajectories not referenced by parent: {'agent-acompact-8086496b6338f180'}
